	A_Control_1	A_Control_2	A_Control_3	M_Control_1	M_Control_2	M_Control_3	A_Verafinib_1	A_Verafinib_2	A_Verafinib_3	M_Verafinib_1	M_Verafinib_2	M_Verafinib_3
ENSG00000000003	338	297	336	492	369	367	327	295	309	594	609	633
ENSG00000000005	0	0	0	0	0	0	0	0	0	1	3	1
ENSG00000000419	1101	1199	1054	1122	853	917	860	922	889	787	838	762
ENSG00000000457	319	263	342	421	291	281	361	372	379	483	492	436
ENSG00000000460	454	609	416	502	380	631	183	190	146	216	245	228
ENSG00000000938	0	0	0	0	0	1	1	2	1	0	0	0
ENSG00000000971	47	32	51	55	27	31	875	850	821	3378	3280	3261
ENSG00000001036	454	430	466	669	512	652	400	456	463	435	489	438
ENSG00000001084	542	616	586	746	554	701	581	742	752	679	683	684
ENSG00000001167	683	795	743	923	619	755	525	528	539	915	916	820
ENSG00000001460	339	292	415	410	277	267	147	165	150	112	130	125
ENSG00000001461	3096	1678	4023	3678	2858	2191	1134	1344	1290	1517	1616	1336
ENSG00000001497	1147	1320	1169	1395	1052	1570	846	777	772	893	889	989
ENSG00000001561	91	72	94	105	57	62	201	232	230	232	253	201
ENSG00000001617	183	83	196	800	616	527	57	54	52	172	195	170
ENSG00000001626	0	0	0	0	0	0	44	76	65	31	29	10
ENSG00000001629	1336	1377	1530	1652	1268	1316	1275	1368	1388	1415	1285	1302
ENSG00000001630	823	584	870	1535	1164	1299	326	342	340	619	613	590
ENSG00000001631	713	730	751	908	666	747	745	640	703	891	884	826
ENSG00000002016	170	143	140	271	198	178	186	178	189	241	263	155
ENSG00000002079	13	6	15	15	9	23	1	1	0	0	1	0
ENSG00000002330	371	233	351	399	277	363	456	493	410	352	322	386
ENSG00000002549	999	1136	1064	1158	819	1067	1059	1242	1267	1119	1170	1346
ENSG00000002586	473	227	337	884	740	703	451	523	467	507	551	538
ENSG00000002587	84	67	63	40	25	64	5	6	6	3	7	2
ENSG00000002726	0	0	1	0	2	0	1	3	0	0	0	0
ENSG00000002745	1	6	2	6	0	2	6	5	5	4	3	3
ENSG00000002746	14	14	34	58	34	65	96	95	104	137	140	162
ENSG00000002822	330	426	387	434	351	466	277	296	278	259	243	319
ENSG00000002834	4127	3661	3718	3961	2727	4335	3193	2135	1810	2866	2903	3633
ENSG00000002919	212	292	214	320	212	243	247	293	313	263	248	228
ENSG00000002933	0	0	0	0	0	0	2	3	3	3	2	0
ENSG00000003056	2979	4149	3005	4059	3118	3280	4504	4700	4767	5943	6074	4791
ENSG00000003096	44	75	65	43	23	59	130	134	123	99	126	134
ENSG00000003137	36	23	40	56	39	36	42	23	23	38	58	21
ENSG00000003147	257	111	371	321	231	132	457	378	334	379	416	311
